dataset,subset,split_policy,view,model,n_trials,trial_indices,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max
bfcl,all_categories,minxing_row_random,X-only,majority_class,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8870967741935484,0.0,0.8870967741935484,0.8870967741935484,0.5,0.0,0.5,0.5,0.4700854700854701,0.0,0.4700854700854701,0.4700854700854701
bfcl,all_categories,minxing_row_random,X-only,stratified_random,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7620967741935483,1.1102230246251565e-16,0.7620967741935484,0.7620967741935484,0.523051948051948,0.0,0.523051948051948,0.523051948051948,0.5150952775476387,0.0,0.5150952775476387,0.5150952775476387
bfcl,all_categories,minxing_row_random,X-only,logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8870967741935484,0.0,0.8870967741935484,0.8870967741935484,0.5,0.0,0.5,0.5,0.4700854700854701,0.0,0.4700854700854701,0.4700854700854701
bfcl,all_categories,minxing_row_random,X-only,class_weighted_logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.522983870967742,0.03320436592909706,0.4717741935483871,0.5766129032258065,0.5051623376623378,0.028641240713177037,0.46038961038961035,0.551948051948052,0.42353424376990156,0.018878558824907125,0.38958720853766227,0.4578576633470974
bfcl,all_categories,minxing_row_random,X-only,random_forest,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.880241935483871,0.004435483870967738,0.8709677419354839,0.8870967741935484,0.49769480519480513,0.004347377137351123,0.4909090909090909,0.5087662337662338,0.4711664894207078,0.008630706079968097,0.46551724137931033,0.4968257084887755
bfcl,all_categories,minxing_row_random,X-only,hist_gradient_boosting,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8665322580645162,0.01073671528685027,0.842741935483871,0.8790322580645161,0.5071103896103897,0.0158096881318421,0.4863636363636364,0.5331168831168831,0.4963746274490986,0.02578669515567115,0.46320346320346323,0.537719298245614
bfcl,all_categories,minxing_row_random,X-only,small_mlp_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8798387096774194,0.006698890212030699,0.8709677419354839,0.8870967741935484,0.4974675324675325,0.004531053253095986,0.4909090909090909,0.5064935064935066,0.4709589569569198,0.008120539303176102,0.46551724137931033,0.49477973007384773
bfcl,all_categories,minxing_row_random,S-only,majority_class,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8870967741935484,0.0,0.8870967741935484,0.8870967741935484,0.5,0.0,0.5,0.5,0.4700854700854701,0.0,0.4700854700854701,0.4700854700854701
bfcl,all_categories,minxing_row_random,S-only,stratified_random,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7620967741935483,1.1102230246251565e-16,0.7620967741935484,0.7620967741935484,0.523051948051948,0.0,0.523051948051948,0.523051948051948,0.5150952775476387,0.0,0.5150952775476387,0.5150952775476387
bfcl,all_categories,minxing_row_random,S-only,logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8866935483870966,0.0028225806451612876,0.8830645161290323,0.8911290322580645,0.5044480519480521,0.008356274993030696,0.49772727272727274,0.5178571428571429,0.4801634215031251,0.01615478328002264,0.4689507494646681,0.505574835708484
bfcl,all_categories,minxing_row_random,S-only,class_weighted_logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.4939516129032258,0.11469275905753129,0.31451612903225806,0.6491935483870968,0.4700974025974025,0.045883975661071975,0.41883116883116883,0.5704545454545454,0.3954932139887683,0.065185156598048,0.29009227453357583,0.491702479338843
bfcl,all_categories,minxing_row_random,S-only,random_forest,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8850806451612903,0.004131834986274028,0.875,0.8870967741935484,0.49886363636363634,0.0023288524468089997,0.49318181818181817,0.5,0.46951615861487106,0.0011670284119031104,0.4666666666666667,0.4700854700854701
bfcl,all_categories,minxing_row_random,S-only,hist_gradient_boosting,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8858870967741934,0.002581904934448727,0.8790322580645161,0.8870967741935484,0.5008766233766233,0.004360934731085854,0.4954545454545455,0.5133116883116884,0.4729570188299248,0.009397245316296826,0.4678111587982833,0.5010752688172043
bfcl,all_categories,minxing_row_random,S-only,small_mlp_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8858870967741934,0.002581904934448727,0.8830645161290323,0.8911290322580645,0.502435064935065,0.006725169530329456,0.49772727272727274,0.5178571428571429,0.4763929703347043,0.013512512262633787,0.4689507494646681,0.505574835708484
bfcl,all_categories,minxing_row_random,X+S,majority_class,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8870967741935484,0.0,0.8870967741935484,0.8870967741935484,0.5,0.0,0.5,0.5,0.4700854700854701,0.0,0.4700854700854701,0.4700854700854701
bfcl,all_categories,minxing_row_random,X+S,stratified_random,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7620967741935483,1.1102230246251565e-16,0.7620967741935484,0.7620967741935484,0.523051948051948,0.0,0.523051948051948,0.523051948051948,0.5150952775476387,0.0,0.5150952775476387,0.5150952775476387
bfcl,all_categories,minxing_row_random,X+S,logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8874999999999998,0.002171437422231653,0.8830645161290323,0.8911290322580645,0.5080194805194805,0.00853476268326816,0.49772727272727274,0.5178571428571429,0.487031354585871,0.017194047797508463,0.4689507494646681,0.505574835708484
bfcl,all_categories,minxing_row_random,X+S,class_weighted_logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5310483870967743,0.05068630186421313,0.4274193548387097,0.6209677419354839,0.4816558441558441,0.05543440166090103,0.39123376623376627,0.5525974025974025,0.4201649401268635,0.037240328522414795,0.35321774904496034,0.48333333333333334
bfcl,all_categories,minxing_row_random,X+S,random_forest,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8810483870967742,0.004855481684996889,0.8709677419354839,0.8870967741935484,0.49814935064935073,0.005080001733106568,0.4909090909090909,0.5110389610389611,0.47148914186669766,0.009245248311491648,0.46551724137931033,0.4989224137931034
bfcl,all_categories,minxing_row_random,X+S,hist_gradient_boosting,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8641129032258064,0.016532258064516112,0.8346774193548387,0.8870967741935484,0.4963961038961039,0.015642781668128863,0.4727272727272727,0.5311688311688312,0.48066763988700884,0.021977467632688062,0.45614035087719296,0.5323275862068966
bfcl,all_categories,minxing_row_random,X+S,small_mlp_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8693548387096774,0.009052396903485332,0.8548387096774194,0.8830645161290323,0.5087012987012988,0.010821774866751545,0.48863636363636365,0.5285714285714286,0.4974924475811033,0.01949583854197066,0.46436285097192226,0.5317809943360604
bfcl,non_irrelevance,minxing_row_random,X-only,majority_class,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.89,0.0,0.89,0.89,0.5,0.0,0.5,0.5,0.4708994708994709,0.0,0.4708994708994709,0.4708994708994709
bfcl,non_irrelevance,minxing_row_random,X-only,stratified_random,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.76,0.0,0.76,0.76,0.4867211440245149,5.551115123125783e-17,0.48672114402451483,0.48672114402451483,0.4861913937058445,0.0,0.4861913937058445,0.4861913937058445
bfcl,non_irrelevance,minxing_row_random,X-only,logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.89,0.0,0.89,0.89,0.5,0.0,0.5,0.5,0.4708994708994709,0.0,0.4708994708994709,0.4708994708994709
bfcl,non_irrelevance,minxing_row_random,X-only,class_weighted_logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5495000000000001,0.03615591237958183,0.495,0.6,0.4999233912155261,0.026833021910397,0.4570990806945863,0.5362614913176711,0.43262158936840045,0.02227301426602961,0.39591494960973717,0.4666666666666667
bfcl,non_irrelevance,minxing_row_random,X-only,random_forest,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.89,0.0022360679774997916,0.885,0.895,0.5019918283963227,0.006962366981798553,0.49719101123595505,0.5227272727272727,0.47523185903995496,0.01347148079060241,0.46949602122015915,0.5156268019836235
bfcl,non_irrelevance,minxing_row_random,X-only,hist_gradient_boosting,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8700000000000001,0.008660254037844393,0.855,0.885,0.4987231869254341,0.012507034186832413,0.4803370786516854,0.5171092951991828,0.4834522604861551,0.01942072770049313,0.4609164420485175,0.5093333333333333
bfcl,non_irrelevance,minxing_row_random,X-only,small_mlp_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.884,0.004358898943540678,0.875,0.89,0.4986210418794689,0.006628812130677243,0.49157303370786515,0.5171092951991828,0.4731953239445536,0.012108216138164086,0.4666666666666667,0.5093333333333333
bfcl,non_irrelevance,minxing_row_random,S-only,majority_class,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.89,0.0,0.89,0.89,0.5,0.0,0.5,0.5,0.4708994708994709,0.0,0.4708994708994709,0.4708994708994709
bfcl,non_irrelevance,minxing_row_random,S-only,stratified_random,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.76,0.0,0.76,0.76,0.4867211440245149,5.551115123125783e-17,0.48672114402451483,0.48672114402451483,0.4861913937058445,0.0,0.4861913937058445,0.4861913937058445
bfcl,non_irrelevance,minxing_row_random,S-only,logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8879999999999999,0.00244948974278318,0.885,0.89,0.5008682328907048,0.006486612552179182,0.49719101123595505,0.5199182839632278,0.4744892786895722,0.012657991091323836,0.46949602122015915,0.5124113475177305
bfcl,non_irrelevance,minxing_row_random,S-only,class_weighted_logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.48949999999999994,0.12166449769756171,0.33,0.68,0.47019918283963225,0.09360285560908037,0.3730847803881512,0.6782431052093973,0.39430038872836287,0.08130679567593257,0.2959226565783943,0.5322245322245323
bfcl,non_irrelevance,minxing_row_random,S-only,random_forest,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8885000000000002,0.0039051248379533307,0.88,0.895,0.5011491317671093,0.007420689959142757,0.4943820224719101,0.5227272727272727,0.4748100776203746,0.013636222667190672,0.46808510638297873,0.5156268019836235
bfcl,non_irrelevance,minxing_row_random,S-only,hist_gradient_boosting,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8879999999999999,0.0040000000000000036,0.88,0.89,0.5008682328907048,0.004780399064094479,0.4943820224719101,0.5143003064351379,0.4741656850542958,0.010769501293660411,0.46808510638297873,0.5063759769642122
bfcl,non_irrelevance,minxing_row_random,S-only,small_mlp_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8825,0.00813941029804986,0.87,0.895,0.5017620020429009,0.01047948560409031,0.4887640449438202,0.5227272727272727,0.48062960405235877,0.018565394670328902,0.46524064171123,0.5156268019836235
bfcl,non_irrelevance,minxing_row_random,X+S,majority_class,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.89,0.0,0.89,0.89,0.5,0.0,0.5,0.5,0.4708994708994709,0.0,0.4708994708994709,0.4708994708994709
bfcl,non_irrelevance,minxing_row_random,X+S,stratified_random,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.76,0.0,0.76,0.76,0.4867211440245149,5.551115123125783e-17,0.48672114402451483,0.48672114402451483,0.4861913937058445,0.0,0.4861913937058445,0.4861913937058445
bfcl,non_irrelevance,minxing_row_random,X+S,logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.889,0.0030000000000000027,0.885,0.895,0.5054136874361593,0.010200961399616642,0.49719101123595505,0.5227272727272727,0.4832535444277446,0.01981586140504064,0.46949602122015915,0.5156268019836235
bfcl,non_irrelevance,minxing_row_random,X+S,class_weighted_logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.551,0.046946778377222,0.45,0.625,0.48881511746680284,0.04923385917543632,0.40858018386108275,0.5674157303370786,0.42958849407589217,0.0336601848966418,0.36276213648476424,0.4864170833896473
bfcl,non_irrelevance,minxing_row_random,X+S,random_forest,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8875,0.0025000000000000022,0.885,0.89,0.4985955056179775,0.0014044943820224753,0.49719101123595505,0.5,0.470197746059815,0.0007017248396558594,0.46949602122015915,0.4708994708994709
bfcl,non_irrelevance,minxing_row_random,X+S,hist_gradient_boosting,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8734999999999999,0.005937171043518963,0.865,0.88,0.49869765066394284,0.010420202843012493,0.4859550561797753,0.5143003064351379,0.4808739754907002,0.018171603530784272,0.46380697050938335,0.5063759769642122
bfcl,non_irrelevance,minxing_row_random,X+S,small_mlp_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8554999999999999,0.02173131381210075,0.815,0.88,0.5005362614913177,0.0289438513880254,0.45786516853932585,0.5712461695607763,0.49302347524036805,0.036629624653090595,0.4490358126721763,0.587152175708034
bfcl,irrelevance_only,minxing_row_random,X-only,majority_class,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.5,0.0,0.5,0.5,0.4545454545454545,5.551115123125783e-17,0.45454545454545453,0.45454545454545453
bfcl,irrelevance_only,minxing_row_random,X-only,stratified_random,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6875,0.0,0.6875,0.6875,0.4625000000000001,5.551115123125783e-17,0.4625,0.4625,0.4638868205510052,0.0,0.4638868205510052,0.4638868205510052
bfcl,irrelevance_only,minxing_row_random,X-only,logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.5,0.0,0.5,0.5,0.4545454545454545,5.551115123125783e-17,0.45454545454545453,0.45454545454545453
bfcl,irrelevance_only,minxing_row_random,X-only,class_weighted_logistic_regression_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.56875,0.07279752170690063,0.4583333333333333,0.6666666666666666,0.52125,0.043678513024140386,0.425,0.55,0.47335200363686275,0.040948809421750276,0.390625,0.5282555282555282
bfcl,irrelevance_only,minxing_row_random,X-only,random_forest,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8229166666666666,0.01397542485937371,0.7916666666666666,0.8333333333333334,0.49375,0.008385254915624219,0.475,0.5,0.45139607785959024,0.004238473677957467,0.4418604651162791,0.45454545454545453
bfcl,irrelevance_only,minxing_row_random,X-only,hist_gradient_boosting,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8125,0.02465033242958174,0.7708333333333334,0.8333333333333334,0.5025,0.033447720400649146,0.4625,0.55,0.4778556449918307,0.049916135160109856,0.43529411764705883,0.5534883720930233
bfcl,irrelevance_only,minxing_row_random,X-only,small_mlp_standardized,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.825,0.01381926995981419,0.7916666666666666,0.8333333333333334,0.495,0.008291561975888507,0.475,0.5,0.4520230371072391,0.004194027171283698,0.4418604651162791,0.45454545454545453
